cd_apolice,cd_cliente,dt_inicio_vigencia,dt_fim_vigencia,vl_cobertura,vl_franquia,placa
1,4795,2025-02-01 15:25:41.000,2025-09-09 15:25:41.000,554382.00,77298.00,"HEG0631   "
2,6043,2023-09-23 06:57:10.000,2024-06-13 06:57:10.000,453879.00,16425.00,"ILM4667   "
3,11754,2023-12-03 05:46:51.000,2024-03-25 05:46:51.000,991737.00,70757.00,"QNR4589   "
4,1521,2024-02-08 11:45:33.000,2024-05-14 11:45:33.000,432802.00,87636.00,"LWE5122   "
5,17956,2023-07-21 06:41:54.000,2023-10-08 06:41:54.000,100988.00,76181.00,"ZDF8957   "
6,19758,2023-12-23 14:46:33.000,2024-02-17 14:46:33.000,395246.00,70765.00,"IYN4486   "
7,1260,2024-01-19 15:19:44.000,2024-02-01 15:19:44.000,218568.00,31834.00,"CYF0530   "
8,8126,2024-02-19 01:05:38.000,2024-04-06 01:05:38.000,892673.00,20153.00,"VLH3934   "
9,15467,2023-06-26 10:42:17.000,2024-03-31 10:42:17.000,292406.00,32278.00,"SLR2043   "
10,15898,2023-04-21 06:01:56.000,2023-11-02 06:01:56.000,772601.00,75275.00,"OQG2750   "
11,9399,2023-12-18 20:40:19.000,2024-05-03 20:40:19.000,254623.00,65278.00,"QYN2473   "
12,5481,2024-07-09 18:19:28.000,2024-12-21 18:19:28.000,686418.00,10183.00,"FJR3106   "
13,6311,2023-07-17 21:44:11.000,2024-06-18 21:44:11.000,432544.00,67556.00,"DMJ9207   "
14,2958,2024-05-05 16:46:52.000,2025-02-13 16:46:52.000,877221.00,54074.00,"JMJ6755   "
15,1944,2024-01-03 10:11:51.000,2024-05-16 10:11:51.000,806086.00,85363.00,"NJV0773   "
16,3736,2024-12-04 19:17:22.000,2025-10-28 19:17:22.000,514210.00,62172.00,"FAL2441   "
17,15933,2023-11-10 13:27:08.000,2024-07-28 13:27:08.000,177003.00,80089.00,"TYB6023   "
18,13238,2023-06-01 03:55:04.000,2023-08-13 03:55:04.000,973808.00,77034.00,"CFX3006   "
19,5684,2024-07-05 12:44:06.000,2025-04-02 12:44:06.000,269641.00,45739.00,"YUG2025   "
20,2714,2025-02-03 21:26:45.000,2025-06-18 21:26:45.000,792868.00,97658.00,"LTV2234   "
21,16245,2023-07-14 09:36:10.000,2023-12-28 09:36:10.000,722056.00,99767.00,"YEK9087   "
22,19868,2023-07-21 13:59:46.000,2024-02-04 13:59:46.000,884203.00,68159.00,"UOF5969   "
23,761,2024-07-09 03:28:39.000,2024-10-20 03:28:39.000,444108.00,80345.00,"EEL3078   "
24,10337,2023-11-22 09:11:11.000,2024-05-09 09:11:11.000,486094.00,12151.00,"MAA8669   "
25,11606,2024-09-12 04:22:00.000,2025-09-09 04:22:00.000,265653.00,43444.00,"XML7034   "
26,19016,2025-01-07 14:28:54.000,2025-09-29 14:28:54.000,729537.00,56283.00,"GPP6247   "
27,14461,2024-11-19 12:48:37.000,2024-12-28 12:48:37.000,324651.00,55841.00,"BZZ5690   "
28,13393,2023-10-20 00:47:18.000,2024-03-27 00:47:18.000,164820.00,88056.00,"VNP8720   "
29,19392,2024-05-26 18:42:08.000,2025-05-08 18:42:08.000,513618.00,63205.00,"XWI7654   "
30,4045,2024-11-29 06:27:00.000,2024-12-02 06:27:00.000,907531.00,74589.00,"FHQ5377   "
31,4413,2024-12-26 15:39:08.000,2025-11-26 15:39:08.000,784493.00,88437.00,"KCJ0815   "
32,15262,2023-03-23 02:56:35.000,2023-08-04 02:56:35.000,635092.00,37796.00,"MWV3370   "
33,1215,2023-05-05 23:54:42.000,2023-07-04 23:54:42.000,143883.00,18395.00,"IGC5960   "
34,9489,2024-11-10 17:29:08.000,2024-12-25 17:29:08.000,433226.00,33387.00,"YUT2201   "
35,1887,2024-10-11 05:56:31.000,2025-08-12 05:56:31.000,172288.00,67184.00,"QVG8367   "
36,2879,2023-06-24 16:40:01.000,2024-04-25 16:40:01.000,141757.00,10553.00,"RFN1193   "
37,6768,2023-11-18 06:01:01.000,2024-04-29 06:01:01.000,169506.00,93753.00,"HGX6556   "
38,15638,2023-06-10 12:47:30.000,2023-09-09 12:47:30.000,659620.00,28137.00,"FIM3904   "
39,12351,2024-08-27 16:20:18.000,2024-12-29 16:20:18.000,626695.00,32375.00,"YAD0608   "
40,1438,2023-05-01 01:59:51.000,2023-06-20 01:59:51.000,832530.00,76648.00,"TVE8129   "
41,18151,2024-12-09 16:51:54.000,2025-01-23 16:51:54.000,855368.00,93188.00,"OEU7398   "
42,6928,2024-09-09 09:47:37.000,2024-12-01 09:47:37.000,337736.00,55151.00,"VWD5406   "
43,3033,2023-07-26 23:37:52.000,2023-11-24 23:37:52.000,322610.00,92436.00,"ZYH4284   "
44,14644,2024-08-18 05:07:10.000,2025-05-26 05:07:10.000,855372.00,94661.00,"LCS8489   "
45,12073,2023-10-30 15:07:20.000,2024-01-02 15:07:20.000,554889.00,83826.00,"JUA6925   "
46,17007,2023-06-30 21:57:45.000,2023-12-15 21:57:45.000,199141.00,49992.00,"TQB0421   "
47,4828,2023-10-05 18:35:49.000,2024-06-05 18:35:49.000,118388.00,55347.00,"NMH4178   "
48,18588,2025-01-19 18:43:30.000,2025-05-20 18:43:30.000,592669.00,24805.00,"SQH4631   "
49,4986,2023-12-12 03:07:44.000,2024-03-11 03:07:44.000,132922.00,87846.00,"CKH9000   "
50,449,2023-05-31 12:55:08.000,2023-10-28 12:55:08.000,681712.00,66497.00,"SMS5461   "
51,12476,2024-12-15 15:06:34.000,2025-06-29 15:06:34.000,137208.00,49444.00,"NNP8132   "
52,8516,2024-02-07 21:20:32.000,2024-09-21 21:20:32.000,268313.00,50770.00,"ONR6505   "
53,11226,2023-07-02 23:43:48.000,2024-06-02 23:43:48.000,459617.00,45691.00,"DKL7254   "
54,2694,2023-08-19 02:42:00.000,2024-02-04 02:42:00.000,200283.00,64993.00,"WAQ2498   "
55,2881,2023-06-02 19:09:39.000,2024-02-08 19:09:39.000,140751.00,63635.00,"KHJ2550   "
56,18969,2024-10-19 18:27:56.000,2025-06-11 18:27:56.000,903207.00,43941.00,"PCR9715   "
57,14165,2024-05-02 22:19:34.000,2024-12-19 22:19:34.000,560529.00,62351.00,"QJS4016   "
58,8175,2025-01-28 08:26:28.000,2025-08-09 08:26:28.000,515192.00,82574.00,"DUV1844   "
59,15985,2025-01-06 15:37:12.000,2025-01-09 15:37:12.000,954904.00,58882.00,"VEM7798   "
60,11524,2023-03-28 20:33:20.000,2023-08-23 20:33:20.000,453944.00,14249.00,"TZK4395   "
61,3516,2024-08-20 04:14:02.000,2025-01-07 04:14:02.000,323437.00,74627.00,"YQF5540   "
62,17373,2023-07-22 09:11:22.000,2023-10-11 09:11:22.000,506283.00,80199.00,"PSK4486   "
63,14772,2023-05-09 07:48:19.000,2023-08-28 07:48:19.000,182798.00,43947.00,"KFD3673   "
64,3449,2023-04-17 13:21:10.000,2023-04-26 13:21:10.000,898847.00,68020.00,"CZP2559   "
65,13492,2024-03-22 10:58:46.000,2024-07-20 10:58:46.000,248965.00,75366.00,"URH5213   "
66,3460,2024-02-11 16:59:55.000,2024-12-15 16:59:55.000,807439.00,59494.00,"ETI3427   "
67,15173,2025-01-31 07:58:57.000,2025-12-13 07:58:57.000,694589.00,81852.00,"SWS6213   "
68,926,2024-02-12 13:55:22.000,2025-01-07 13:55:22.000,853311.00,54253.00,"RGH0822   "
69,13031,2024-04-28 01:37:28.000,2025-02-27 01:37:28.000,153994.00,62818.00,"GDE6026   "
70,256,2023-12-11 01:23:02.000,2024-03-12 01:23:02.000,613388.00,95612.00,"NSH1066   "
71,133,2024-12-15 03:57:02.000,2025-06-09 03:57:02.000,360416.00,37762.00,"FOW0666   "
72,3895,2024-12-21 13:41:50.000,2025-05-15 13:41:50.000,626464.00,61647.00,"QMJ0423   "
73,8439,2024-05-28 21:02:54.000,2024-11-08 21:02:54.000,998196.00,18577.00,"XBN3324   "
74,4118,2023-05-21 21:20:02.000,2024-03-25 21:20:02.000,887551.00,29268.00,"GQB2401   "
75,1753,2025-02-05 13:44:48.000,2025-12-12 13:44:48.000,381577.00,90706.00,"HFC3269   "
76,17800,2023-08-29 02:55:30.000,2023-10-23 02:55:30.000,741695.00,93702.00,"VFC6481   "
77,11390,2023-04-29 23:57:19.000,2023-09-24 23:57:19.000,859416.00,25082.00,"MPY3950   "
78,5124,2023-10-20 01:11:48.000,2024-05-20 01:11:48.000,495282.00,48667.00,"FQN6942   "
79,16669,2024-04-12 15:20:25.000,2024-10-13 15:20:25.000,167338.00,41342.00,"CAG3421   "
80,1220,2025-03-11 18:51:05.000,2025-09-25 18:51:05.000,315490.00,66670.00,"JVP2531   "
81,1830,2024-07-09 10:44:11.000,2025-01-13 10:44:11.000,574674.00,48885.00,"BDE8854   "
82,12245,2023-07-07 04:18:11.000,2024-01-11 04:18:11.000,394249.00,76809.00,"CIN3323   "
83,7054,2023-10-25 08:20:33.000,2024-09-19 08:20:33.000,362605.00,69129.00,"WOW0525   "
84,11428,2023-11-03 17:36:36.000,2024-01-16 17:36:36.000,672936.00,50048.00,"GCQ4671   "
85,11608,2023-11-17 17:15:29.000,2024-07-21 17:15:29.000,380891.00,61810.00,"MVJ9572   "
86,9511,2024-06-14 05:40:43.000,2025-01-20 05:40:43.000,259436.00,26616.00,"KZC3811   "
87,16156,2023-10-11 00:34:32.000,2024-07-31 00:34:32.000,454958.00,88848.00,"NNU5351   "
88,18138,2023-07-12 02:00:34.000,2024-01-20 02:00:34.000,342324.00,27118.00,"UTP7955   "
89,19196,2024-06-10 01:22:40.000,2024-08-29 01:22:40.000,486864.00,33426.00,"BRH1679   "
90,15801,2023-10-25 15:57:53.000,2023-11-05 15:57:53.000,683992.00,99889.00,"VVZ5853   "
91,19700,2024-11-14 15:12:32.000,2025-03-22 15:12:32.000,159363.00,43900.00,"EJM7511   "
92,19576,2024-11-19 17:18:56.000,2025-03-03 17:18:56.000,240953.00,26373.00,"NSH6763   "
93,9602,2023-08-20 04:10:34.000,2024-05-09 04:10:34.000,447134.00,67274.00,"WAE7398   "
94,11360,2023-12-12 13:48:48.000,2024-01-22 13:48:48.000,789852.00,12228.00,"AKK2244   "
95,2875,2024-08-02 02:07:24.000,2025-03-31 02:07:24.000,101160.00,10484.00,"TIU3049   "
96,966,2024-07-16 08:35:29.000,2025-06-14 08:35:29.000,394777.00,21135.00,"PMI8932   "
97,6612,2024-10-05 15:31:55.000,2025-01-11 15:31:55.000,346789.00,51774.00,"UDE5175   "
98,10012,2023-11-28 17:06:45.000,2024-02-07 17:06:45.000,607024.00,51655.00,"MXM3703   "
99,17006,2024-09-05 17:06:00.000,2025-06-13 17:06:00.000,598834.00,33708.00,"VOG8921   "
100,18305,2024-08-17 02:30:48.000,2024-10-05 02:30:48.000,940983.00,32602.00,"TUR5384   "
101,6640,2023-12-12 07:52:46.000,2024-10-06 07:52:46.000,480049.00,78622.00,"ZAA8777   "
102,1871,2025-02-07 13:52:59.000,2025-08-17 13:52:59.000,536412.00,74599.00,"EYW9856   "
103,1929,2024-06-09 16:07:52.000,2024-11-27 16:07:52.000,934741.00,25076.00,"VWG8212   "
104,2241,2024-09-12 17:44:25.000,2025-03-31 17:44:25.000,903090.00,49717.00,"XGR8184   "
105,9584,2024-05-17 14:27:06.000,2024-12-02 14:27:06.000,882203.00,89980.00,"UHN9219   "
106,7020,2025-01-25 14:28:50.000,2025-02-03 14:28:50.000,224654.00,52687.00,"FOB2039   "
107,6643,2024-04-19 15:56:23.000,2025-03-06 15:56:23.000,210169.00,30552.00,"VNH1243   "
108,16286,2024-11-12 03:15:12.000,2024-12-09 03:15:12.000,993639.00,64668.00,"VNK3239   "
109,11683,2024-03-31 13:29:26.000,2024-04-30 13:29:26.000,873113.00,76285.00,"MYA2778   "
110,16886,2024-10-28 23:27:47.000,2025-08-03 23:27:47.000,527173.00,90331.00,"EEH3495   "
111,527,2023-04-26 15:27:23.000,2024-01-30 15:27:23.000,646346.00,13712.00,"YMR6103   "
112,12736,2023-05-10 02:31:51.000,2024-03-09 02:31:51.000,853045.00,46162.00,"BSV0583   "
113,2673,2024-03-09 07:34:04.000,2024-05-11 07:34:04.000,262633.00,14783.00,"CXU2243   "
114,1293,2023-08-18 21:23:32.000,2024-02-23 21:23:32.000,637205.00,46000.00,"GUM8487   "
115,74,2023-08-26 05:14:12.000,2024-07-02 05:14:12.000,571562.00,76280.00,"QQA2629   "
116,8610,2024-10-20 19:40:53.000,2025-06-04 19:40:53.000,901846.00,13395.00,"LUD8270   "
117,5152,2023-05-14 23:01:27.000,2024-05-06 23:01:27.000,986361.00,95824.00,"TJD6599   "
118,12006,2023-05-30 10:30:10.000,2024-02-29 10:30:10.000,458089.00,57758.00,"CSJ7127   "
119,5637,2023-03-15 08:53:31.000,2023-09-27 08:53:31.000,907045.00,95156.00,"NFE3297   "
120,3271,2024-06-15 09:12:22.000,2024-10-19 09:12:22.000,628703.00,50457.00,"MRU6686   "
121,2723,2024-11-24 08:33:05.000,2025-07-27 08:33:05.000,223952.00,43343.00,"PFP0923   "
122,11440,2023-08-03 23:05:51.000,2024-02-26 23:05:51.000,571691.00,41623.00,"ERR5673   "
123,8273,2024-11-06 03:40:20.000,2025-04-25 03:40:20.000,793119.00,43616.00,"MVO4443   "
124,18294,2023-09-25 22:24:21.000,2023-11-17 22:24:21.000,682754.00,85957.00,"EGG2574   "
125,5873,2023-09-12 14:38:10.000,2024-01-20 14:38:10.000,145422.00,54696.00,"RNG6060   "
